,0,1,2,3,4
1784,شنبلیله,ʃ æ m b æ l iː l æ,شنبلیله,CANNNNNNOT,S a m b a l i l a
1785,شنیدن,ʃ e n iː d æ n ~ ʃ o n iː d æ n,شنیدن,CANNNNNNOT,S e n i d a n ~ S o n i d a n
1786,شنیدن,ʃ i n i d a n ~ ʃ u n i d a n,شنیدن,CANNNNNNOT,S i n i d a n ~ S u n i d a n
1787,شنیدن,ʃ i n iː d a n ~ ʃ u n iː d a n,شنیدن,CANNNNNNOT,S i n i d a n ~ S u n i d a n
1788,شنیدن,ʃ ɪ n iː d a n ~ ʃ ʊ n iː d a n,شنیدن,CANNNNNNOT,S i n i d a n ~ S ʊ n i d a n
1789,شهادت,ʃ æ h ɒː d̪ æ t̪,شهادت,CANNNNNNOT,S a h A d̪ a t
1790,شهر,ʃ æ h ɾ,شهر,CANNNNNNOT,S a h r
1791,شهرزاد,ʃ æ h ɾ z ɒː d,شهرزاد,CANNNNNNOT,S a h r z A d
1792,شهریور,ʃ æ h ɾ iː v æ ɾ,شهریور,CANNNNNNOT,S a h r i v a r
1793,شهلا,ʃ a h l ɑː,شهلا,CANNNNNNOT,S a h l A
1794,شهلا,ʃ a h l ɒː,شهلا,CANNNNNNOT,S a h l A
1795,شهلا,ʃ a h l ɔː,شهلا,CANNNNNNOT,S a h l A
1796,شهلا,ʃ æ h l ɒː,شهلا,CANNNNNNOT,S a h l A
1797,شو,ʃ o w,شو,CANNNNNNOT,S o w
1798,شو,ʃ æ v,شو,CANNNNNNOT,S a v
1799,شوخی,ʃ oː x iː,شوخی,CANNNNNNOT,S oː x i
1800,شوخی,ʃ uː x iː,شوخی,CANNNNNNOT,S A x i
1801,شوخی,ʃ ɵː x iː,شوخی,CANNNNNNOT,S ɵː x i
1802,شور,ʃ oː ɾ,شور,CANNNNNNOT,S oː r
1803,شور,ʃ uː ɾ,شور,CANNNNNNOT,S A r
1804,شور,ʃ ɵː ɾ,شور,CANNNNNNOT,S ɵː r
1805,شورا,ʃ o ʊ̯ ɾ ɒː,شورا,CANNNNNNOT,S o ʊ̯ r A
1806,شورا,ʃ u ɾ ɔː,شورا,CANNNNNNOT,S u r A
1807,شورا,ʃ uː ɾ ɑː,شورا,CANNNNNNOT,S A r A
1808,شورا,ʃ uː ɾ ɒː,شورا,CANNNNNNOT,S A r A
1809,شورا,ʃ ɵː ɾ ɔː,شورا,CANNNNNNOT,S ɵː r A
1810,شوربا,ʃ oː ɾ b ɑː,شوربا,CANNNNNNOT,S oː r b A
1811,شوربا,ʃ oː ɾ b ɒː,شوربا,CANNNNNNOT,S oː r b A
1812,شوربا,ʃ uː ɾ b ɒː,شوربا,CANNNNNNOT,S A r b A
1813,شوربا,ʃ ɵː ɾ b ɔː,شوربا,CANNNNNNOT,S ɵː r b A
1814,شوره,ʃ oː ɾ e,شوره,CANNNNNNOT,S oː r e
1815,شوره,ʃ uː ɾ æ,شوره,CANNNNNNOT,S A r a
1816,شوروی,ʃ uː ɾ æ v iː,شوروی,CANNNNNNOT,S A r a v i
1817,شوهر,ʃ a v h a ɾ,شوهر,CANNNNNNOT,S a v h a r
1818,شوهر,ʃ a w h a ɾ,شوهر,CANNNNNNOT,S a w h a r
1819,شوهر,ʃ o w h æ ɾ,شوهر,CANNNNNNOT,S o w h a r
1820,شوهر,ʃ oː h æ ɾ,شوهر,CANNNNNNOT,S oː h a r
1821,شوکران,ʃ a v k a ɾ ɔː n,شوکران,CANNNNNNOT,S a v k a r A n
1822,شوکران,ʃ a w k a ɾ ɑː n,شوکران,CANNNNNNOT,S a w k a r A n
1823,شوکران,ʃ a w k a ɾ ɒː n,شوکران,CANNNNNNOT,S a w k a r A n
1824,شوکران,ʃ o w k æ ɾ ɒː n,شوکران,CANNNNNNOT,S o w k a r A n
1825,شوکران,ʃ oː k ɒː ɾ uː n,شوکران,CANNNNNNOT,S oː k A r A n
1826,شوید,ʃ e v iː d,شوید,CANNNNNNOT,S e v i d
1827,شپش,ʃ e p e ʃ,شپش,CANNNNNNOT,S e p e S
1828,شپش‌ها,ʃ e p e ʃ h ɒː,شپشها,CANNNNNNOT,S e p e S h A
1829,شکال,ʃ e k ɒː l,شکال,CANNNNNNOT,S e k A l
1830,شکال,ʃ o k ɒː l,شکال,CANNNNNNOT,S o k A l
1831,شکست,ʃ e k æ s t,شکست,CANNNNNNOT,S e k a s t
1832,شکست,ʃ i k a s t,شکست,CANNNNNNOT,S i k a s t
1833,شکست,ʃ ɪ k a s t,شکست,CANNNNNNOT,S i k a s t
1834,شکستن,ʃ e kʲ æ s t̪ʰ æ n,شکستن,CANNNNNNOT,S e kʲ a s tʰ a n
1835,شکستنی,ʃ i k æ s t̪ æ n iː,شکستنی,CANNNNNNOT,S i k a s t a n i
1836,شکسته‌نستعلیق,ʃ ɪ k æ s t æ n æ s t æ ʔ l iː q,شکستهنستعلیق,CANNNNNNOT,S i k a s t a n a s t a l i q
1837,شکلاتی,ʃ o kʰ o l ɒ tʰ i,شکلاتی,CANNNNNNOT,S o kʰ o l ɒ t i
1838,شیدا,ʃ e j d ɒː,شیدا,CANNNNNNOT,S e y d A
1839,شیدا,ʃ æ j d ɒː,شیدا,CANNNNNNOT,S a y d A
1840,شیر,ʃ e ɾ,شیر,CANNNNNNOT,S e r
1841,شیر,ʃ eː ɾ,شیر,CANNNNNNOT,S eː r
1842,شیر,ʃ i ɾ,شیر,CANNNNNNOT,S i r
1843,شیر,ʃ iː ɾ,شیر,CANNNNNNOT,S i r
1844,شیراز,ʃ e ɾ ɔː z,شیراز,CANNNNNNOT,S e r A z
1845,شیراز,ʃ eː ɾ ɑː z,شیراز,CANNNNNNOT,S eː r A z
1846,شیراز,ʃ eː ɾ ɒː z,شیراز,CANNNNNNOT,S eː r A z
1847,شیراز,ʃ iː ɾ ɒː z,شیراز,CANNNNNNOT,S i r A z
1848,شیرین,ʃ iː ɾ iː n,شیرین,CANNNNNNOT,S i r i n
1849,شیرین‌تر,ʃ iː ɾ iː n t æ ɾ,شیرینتر,CANNNNNNOT,S i r i n t a r
1850,شیرین‌ترین,ʃ iː ɾ iː n t æ ɾ iː n,شیرینترین,CANNNNNNOT,S i r i n t a r i n
1851,شیشه,ʃ i ʃ a,شیشه,CANNNNNNOT,S i S a
1852,شیشه,ʃ iː ʃ a,شیشه,CANNNNNNOT,S i S a
1853,شیشه,ʃ iː ʃ e,شیشه,CANNNNNNOT,S i S e
1854,شیطان,ʃ a j t ɑː n,شیطان,CANNNNNNOT,S a y t A n
1855,شیطان,ʃ a j t ɒː n,شیطان,CANNNNNNOT,S a y t A n
1856,شیطان,ʃ a j t ɔː n,شیطان,CANNNNNNOT,S a y t A n
1857,شیطان,ʃ e j t uː n,شیطان,CANNNNNNOT,S e y t A n
1858,شیطان,ʃ e j t ɒː n,شیطان,CANNNNNNOT,S e y t A n
1859,شیوا,ʃ eː w ɒː,شیوا,CANNNNNNOT,S eː w A
1860,شیوا,ʃ iː v ɒː,شیوا,CANNNNNNOT,S i v A
1861,شیک,ʃ iː k,شیک,CANNNNNNOT,S i k
1862,صابون,s ɒː b uː n,صابون,CANNNNNNOT,s A b A n
1863,صادق,s ɑː d i q,صادق,CANNNNNNOT,s A d i q
1864,صادق,s ɒː d e ɣ,صادق,CANNNNNNOT,s A d e q
1865,صادق,s ɒː d ɪ q,صادق,CANNNNNNOT,s A d i q
1866,صادق,s ɔː d i q,صادق,CANNNNNNOT,s A d i q
1867,صاعقه,s ɑː ʔ i q a,صاعقه,CANNNNNNOT,s A i q a
1868,صاعقه,s ɒː e ɣ e,صاعقه,CANNNNNNOT,s A e q e
1869,صاعقه,s ɒː ʔ e ɣ e,صاعقه,CANNNNNNOT,s A e q e
1870,صاعقه,s ɒː ʔ ɪ q a,صاعقه,CANNNNNNOT,s A i q a
1871,صاعقه,s ɔː ʔ i q a,صاعقه,CANNNNNNOT,s A i q a
1872,صبحانه,s o b h ɒː n e,صبحانه,CANNNNNNOT,s o b h A n e
1873,صبور,s æ b uː ɾ,صبور,CANNNNNNOT,s a b A r
1874,صحبت,s o h b æ t,صحبت,CANNNNNNOT,s o h b a t
1875,صحبت,s u h b a t,صحبت,CANNNNNNOT,s u h b a t
1876,صحبت,s ɵː h b a t,صحبت,CANNNNNNOT,s ɵː h b a t
1877,صحبت,s ʊ h b a t,صحبت,CANNNNNNOT,s ʊ h b a t
1878,صحنه,s æ h n e,صحنه,CANNNNNNOT,s a h n e
1879,صحیح,s a h e h,صحیح,CANNNNNNOT,s a h e h
1880,صحیح,s a h iː h,صحیح,CANNNNNNOT,s a h i h
1881,صحیح,s æ h iː h,صحیح,CANNNNNNOT,s a h i h
1882,صدا,s æ d ɒː,صدا,CANNNNNNOT,s a d A
1883,صرف,s e ɾ f,صرف,CANNNNNNOT,s e r f
1884,صرف,s i ɾ f,صرف,CANNNNNNOT,s i r f
1885,صرف,s ɪ ɾ f,صرف,CANNNNNNOT,s i r f
1886,صفت,s e f æ t,صفت,CANNNNNNOT,s e f a t
1887,صندلی,s æ n d æ l iː,صندلی,CANNNNNNOT,s a n d a l i
1888,صندوق,s a n d u q,صندوق,CANNNNNNOT,s a n d u q
1889,صندوق,s a n d uː q,صندوق,CANNNNNNOT,s a n d A q
1890,صندوق,s æ n d uː ɣ,صندوق,CANNNNNNOT,s a n d A q
1891,صنعت,s æ n ʔ æ t,صنعت,CANNNNNNOT,s a n a t
1892,صنوبر,s a n a v b a ɾ,صنوبر,CANNNNNNOT,s a n a v b a r
1893,صنوبر,s a n a w b a ɾ,صنوبر,CANNNNNNOT,s a n a w b a r
1894,صنوبر,s æ n o w b æ ɾ,صنوبر,CANNNNNNOT,s a n o w b a r
1895,صنوبر,s æ n oː b æ ɾ,صنوبر,CANNNNNNOT,s a n oː b a r
1896,صورتى,s uː ɾ æ tʰ iː,صورتى,CANNNNNNOT,s A r a t i
1897,صورتی,s uː ɾ æ tʰ iː,صورتی,CANNNNNNOT,s A r a t i
1898,ضخیم,z æ x iː m,ضخیم,CANNNNNNOT,z a x i m
1899,ضربان,z æ ɾ æ b ɒː n,ضربان,CANNNNNNOT,z a r a b A n
1900,ضلع,z e l ʔ,ضلع,CANNNNNNOT,z e l ʔ
1901,طاس,t ɒː s,طاس,CANNNNNNOT,t A s
1902,طاقت,t ɑː q a t,طاقت,CANNNNNNOT,t A q a t
1903,طاقت,t ɒː q a t,طاقت,CANNNNNNOT,t A q a t
1904,طاقت,t ɒː ɣ æ t,طاقت,CANNNNNNOT,t A q a t
1905,طاقت,t ɔː q a t,طاقت,CANNNNNNOT,t A q a t
1906,طاووس,t ɑː v uː s,طاووس,CANNNNNNOT,t A v A s
1907,طاووس,t ɒː v uː s,طاووس,CANNNNNNOT,t A v A s
1908,طاووس,t ɒː w uː s,طاووس,CANNNNNNOT,t A w A s
1909,طاووس,t ɔː v u s,طاووس,CANNNNNNOT,t A v u s
1910,طبقه,t a b a q a,طبقه,CANNNNNNOT,t a b a q a
1911,طبقه,t æ b æ ɣ e,طبقه,CANNNNNNOT,t a b a q e
1912,طعم,t æ ʔ m,طعم,CANNNNNNOT,t a m
1913,طلا,tʰ e l ɒː,طلا,CANNNNNNOT,t e l A
1914,طلا,tʰ æ l ɒː,طلا,CANNNNNNOT,t a l A
1915,طور,t a v ɾ,طور,CANNNNNNOT,t a v r
1916,طور,t a w ɾ,طور,CANNNNNNOT,t a w r
1917,طور,t o w ɾ,طور,CANNNNNNOT,t o w r
1918,طور,t oː ɾ,طور,CANNNNNNOT,t oː r
1919,طیاره,t a j j ɑː ɾ a,طیاره,CANNNNNNOT,t a y y A r a
1920,طیاره,t a j j ɒː ɾ a,طیاره,CANNNNNNOT,t a y y A r a
1921,طیاره,t a j j ɔː ɾ a,طیاره,CANNNNNNOT,t a y y A r a
1922,طیاره,t e j j ɒː ɾ e,طیاره,CANNNNNNOT,t e y y A r e
1923,ظهر,z o h ɾ,ظهر,CANNNNNNOT,z o h r
1924,ظهر,z u h ɾ,ظهر,CANNNNNNOT,z u h r
1925,ظهر,z ɵː h ɾ,ظهر,CANNNNNNOT,z ɵː h r
1926,ظهر,z ʊ h ɾ,ظهر,CANNNNNNOT,z ʊ h r
1927,ظهور,z o h uː ɾ,ظهور,CANNNNNNOT,z o h A r
1928,ظهور,z u h u ɾ,ظهور,CANNNNNNOT,z u h u r
1929,ظهور,z u h uː ɾ,ظهور,CANNNNNNOT,z u h A r
1930,ظهور,z ʊ h uː ɾ,ظهور,CANNNNNNOT,z ʊ h A r
1931,عاشق,ɑː ʃ i q,عاشق,CANNNNNNOT,A S i q
1932,عاشق,ɒː ʃ e ɣ,عاشق,CANNNNNNOT,A S e q
1933,عاشق,ɒː ʃ ɪ q,عاشق,CANNNNNNOT,A S i q
1934,عاشق,ɔː ʃ i q,عاشق,CANNNNNNOT,A S i q
1935,عاصی,ʔ ɒː s iː,عاصی,CANNNNNNOT,A s i
1936,عباء,a b ɒː,عباء,CANNNNNNOT,a b A
1937,عباسی,ʔ æ b b ɒː s iː,عباسی,CANNNNNNOT,a b b A s i
1938,عثمان,o s m ɒː n,عثمان,CANNNNNNOT,o s m A n
1939,عثمان,u s m ɑː n,عثمان,CANNNNNNOT,u s m A n
1940,عثمان,u s m ɔː n,عثمان,CANNNNNNOT,u s m A n
1941,عثمان,ʊ s m ɒː n,عثمان,CANNNNNNOT,ʊ s m A n
1942,عجان,ʔ e d ʒ ɒː n,عجان,CANNNNNNOT,e j A n
1943,عجیب‌تر,æ d ʒ iː b t æ ɾ,عجیبتر,CANNNNNNOT,a j i b t a r
1944,عجیب‌ترین,æ d ʒ iː b t æ ɾ iː n,عجیبترین,CANNNNNNOT,a j i b t a r i n
1945,عروس,ʔ æ ɾ uː s,عروس,CANNNNNNOT,a r A s
1946,عشق,e ʃ ɣ,عشق,CANNNNNNOT,e S q
1947,عشق,i ʃ q,عشق,CANNNNNNOT,i S q
1948,عشق,ɪ ʃ q,عشق,CANNNNNNOT,i S q
1949,عشق‌آباد,e ʃ ɣ ɒː b ɒː d,عشقآباد,CANNNNNNOT,e S q A b A d
1950,عشق‌آباد,i ʃ q ɑː b ɑː d,عشقآباد,CANNNNNNOT,i S q A b A d
1951,عشق‌آباد,i ʃ q ɔː b ɔː d,عشقآباد,CANNNNNNOT,i S q A b A d
1952,عشق‌آباد,ɪ ʃ q ɒː b ɒː d,عشقآباد,CANNNNNNOT,i S q A b A d
1953,عضو,o z v,عضو,CANNNNNNOT,o z v
1954,عضو,u z v,عضو,CANNNNNNOT,u z v
1955,عضو,ʊ z w,عضو,CANNNNNNOT,ʊ z w
1956,عضوها,o z v h ɒ,عضوها,CANNNNNNOT,o z v h ɒ
1957,عقرب,ʔ æ ɣ ɾ æ b,عقرب,CANNNNNNOT,a q r a b
1958,علف,ʔ æ l æ f,علف,CANNNNNNOT,a l a f
1959,عمر,o m æ ɾ,عمر,CANNNNNNOT,o m a r
1960,عمر,o m ɾ,عمر,CANNNNNNOT,o m r
1961,عمر,u m a ɾ,عمر,CANNNNNNOT,u m a r
1962,عمر,u m ɾ,عمر,CANNNNNNOT,u m r
1963,عمر,ʊ m a ɾ,عمر,CANNNNNNOT,ʊ m a r
1964,عمر,ʊ m ɾ,عمر,CANNNNNNOT,ʊ m r
1965,عمو,a m u,عمو,CANNNNNNOT,a m u
1966,عنصر,o n s o ɾ,عنصر,CANNNNNNOT,o n s o r
1967,عنصر,u n s u ɾ,عنصر,CANNNNNNOT,u n s u r
1968,عنصر,ʊ n s ʊ ɾ,عنصر,CANNNNNNOT,ʊ n s ʊ r
1969,غایب,ɣ ɑː j i b,غایب,CANNNNNNOT,q A y i b
1970,غایب,ɣ ɒː j e b,غایب,CANNNNNNOT,q A y e b
1971,غایب,ɣ ɒː j ɪ b,غایب,CANNNNNNOT,q A y i b
1972,غایب,ɣ ɔː j i b,غایب,CANNNNNNOT,q A y i b
1973,غذا,ɢ e z ɒː,غذا,CANNNNNNOT,ɢ e z A
1974,غذا,ɣ e z ɒː ~ ɣ æ z ɒː,غذا,CANNNNNNOT,q e z A ~ q a z A
1975,غذا,ɣ e z ɒː ~ ɣ ɒː z ɒː,غذا,CANNNNNNOT,q e z A ~ q A z A
1976,غذا,ɣ i z ɑː ~ ɣ a z ɑː,غذا,CANNNNNNOT,q i z A ~ q a z A
1977,غذا,ɣ i z ɔː ~ ɣ a z ɔː,غذا,CANNNNNNOT,q i z A ~ q a z A
1978,غذا,ɣ ɪ z ɒː ~ ɣ a z ɒː,غذا,CANNNNNNOT,q i z A ~ q a z A
1979,غرق,ɣ æ ɾ ɣ,غرق,CANNNNNNOT,q a r q
1980,غره,ɢ æ ɾ ɾ e,غره,CANNNNNNOT,ɢ a r r e
1981,غم,ɣ æ m,غم,CANNNNNNOT,q a m
1982,غمگین,ɣ æ m ɡ iː n,غمگین,CANNNNNNOT,q a m ɡ i n
1983,غمگینی,ɢ æ m ɡ iː n iː,غمگینی,CANNNNNNOT,ɢ a m ɡ i n i
1984,غور,ɣ a v ɾ,غور,CANNNNNNOT,q a v r
1985,غور,ɣ a w ɾ,غور,CANNNNNNOT,q a w r
1986,غور,ɣ o w ɾ,غور,CANNNNNNOT,q o w r
1987,غور,ɣ oː ɾ,غور,CANNNNNNOT,q oː r
1988,غژب,ɢ o ʒ b,غژب,CANNNNNNOT,ɢ o ʒ b
1989,غیر,ɣ a j ɾ,غیر,CANNNNNNOT,q a y r
1990,غیر,ɣ e j ɾ,غیر,CANNNNNNOT,q e y r
1991,غیرت,ɣ æ j ɾ æ t,غیرت,CANNNNNNOT,q a y r a t
1992,ـستان,e s t uː n,ـستان,CANNNNNNOT,e s t A n
1993,ـستان,e s t ɒː n,ـستان,CANNNNNNOT,e s t A n
1994,ـستان,i s t ɑː n,ـستان,CANNNNNNOT,i s t A n
1995,ـستان,i s t ɔː n,ـستان,CANNNNNNOT,i s t A n
1996,ـستان,ɪ s t ɒː n,ـستان,CANNNNNNOT,i s t A n
1997,ـی,e,ـی,CANNNNNNOT,e
1998,ـی,eː,ـی,CANNNNNNOT,eː
1999,ـی,iː,ـی,CANNNNNNOT,i
2000,ـیسم,iː s m,ـیسم,CANNNNNNOT,i s m
2001,فائده,f ɒː ʔ e d e,فائده,CANNNNNNOT,f A e d e
2002,فاحش,f ɒː h e ʃ,فاحش,CANNNNNNOT,f A h e S
2003,فارسی,f ɑː ɾ s iː,فارسی,CANNNNNNOT,f A r s i
2004,فارسی,f ɒː ɾ s iː,فارسی,CANNNNNNOT,f A r s i
2005,فارسی,f ɔː ɾ s iː,فارسی,CANNNNNNOT,f A r s i
2006,فاعل,f ɑː ʔ i l,فاعل,CANNNNNNOT,f A i l
2007,فاعل,f ɒː e l,فاعل,CANNNNNNOT,f A e l
2008,فاعل,f ɒː ʔ e l,فاعل,CANNNNNNOT,f A e l
2009,فاعل,f ɒː ʔ ɪ l,فاعل,CANNNNNNOT,f A i l
2010,فاعل,f ɔː ʔ i l,فاعل,CANNNNNNOT,f A i l
2011,فامیل,f ɒː m iː l,فامیل,CANNNNNNOT,f A m i l
2012,فانوس,f ɒː n uː s,فانوس,CANNNNNNOT,f A n A s
2013,فایده,f ɒ j d e,فایده,CANNNNNNOT,f ɒ y d e
2014,فایده,f ɒː j e d e,فایده,CANNNNNNOT,f A y e d e
2015,فحش,f o h ʃ,فحش,CANNNNNNOT,f o h S
2016,فحش,f u h ʃ,فحش,CANNNNNNOT,f u h S
2017,فحش,f ɵː h ʃ,فحش,CANNNNNNOT,f ɵː h S
2018,فحش,f ʊ h ʃ,فحش,CANNNNNNOT,f ʊ h S
2019,فر,f o ɾ,فر,CANNNNNNOT,f o r
2020,فر,f æ r,فر,CANNNNNNOT,f a r
2021,فرآیند,f æ ɾ ɒː j æ n d,فرآیند,CANNNNNNOT,f a r A y a n d
2022,فراموش,f a ɾ ɑː m oː ʃ,فراموش,CANNNNNNOT,f a r A m oː S
2023,فراموش,f a ɾ ɒː m oː ʃ,فراموش,CANNNNNNOT,f a r A m oː S
2024,فراموش,f a ɾ ɔː m ɵː ʃ,فراموش,CANNNNNNOT,f a r A m ɵː S
2025,فراموش,f æ ɾ ɒː m uː ʃ,فراموش,CANNNNNNOT,f a r A m A S
2026,فراموشی,f æ ɾ ɒː m uː ʃ iː,فراموشی,CANNNNNNOT,f a r A m A S i
2027,فراموشیدن,f æ ɾ ɒː m uː ʃ iː d̪ æ n,فراموشیدن,CANNNNNNOT,f a r A m A S i d̪ a n
2028,فرانک,f æ ɾ ɒː n æ k,فرانک,CANNNNNNOT,f a r A n a k
2029,فردا,f a ɾ d ɑː,فردا,CANNNNNNOT,f a r d A
2030,فردا,f a ɾ d ɒː,فردا,CANNNNNNOT,f a r d A
2031,فردا,f a ɾ d ɔː,فردا,CANNNNNNOT,f a r d A
2032,فردا,f æ ɾ d ɒː,فردا,CANNNNNNOT,f a r d A
2033,فردوس,f e ɾ d o w s,فردوس,CANNNNNNOT,f e r d o w s
2034,فردوس,f e ɾ d oː s,فردوس,CANNNNNNOT,f e r d oː s
2035,فردوس,f i ɾ d a v s,فردوس,CANNNNNNOT,f i r d a v s
2036,فردوس,f i ɾ d a w s,فردوس,CANNNNNNOT,f i r d a w s
2037,فردوس,f ɪ ɾ d a w s,فردوس,CANNNNNNOT,f i r d a w s
2038,فرشته,f e ɾ e ʃ t e,فرشته,CANNNNNNOT,f e r e S t e
2039,فرشته,f æ ɾ ɪ ʃ t æ,فرشته,CANNNNNNOT,f a r i S t a
2040,فرشته,f ɪ ɾ ɪ ʃ t æ,فرشته,CANNNNNNOT,f i r i S t a
2041,فرق,f a ɾ q,فرق,CANNNNNNOT,f a r q
2042,فرق,f æ ɾ ɣ,فرق,CANNNNNNOT,f a r q
2043,فرمانده,f æ ɾ m ɒ n d e h,فرمانده,CANNNNNNOT,f a r m ɒ n d e h
2044,فرمایش,f a ɾ m ɑː j i ʃ,فرمایش,CANNNNNNOT,f a r m A y i S
2045,فرمایش,f a ɾ m ɒː j ɪ ʃ,فرمایش,CANNNNNNOT,f a r m A y i S
2046,فرمایش,f a ɾ m ɔː j i ʃ,فرمایش,CANNNNNNOT,f a r m A y i S
2047,فرمایش,f æ ɾ m ɒː j e ʃ,فرمایش,CANNNNNNOT,f a r m A y e S
2048,فروختن,f o ɾ uː x t æ n,فروختن,CANNNNNNOT,f o r A x t a n
2049,فروختن,f u ɾ oː x t a n,فروختن,CANNNNNNOT,f u r oː x t a n
2050,فروختن,f u ɾ ɵː x t a n,فروختن,CANNNNNNOT,f u r ɵː x t a n
2051,فروختن,f ʊ ɾ oː x t a n,فروختن,CANNNNNNOT,f ʊ r oː x t a n
2052,فروردین,f æ ɾ v æ ɾ d̪ iː n,فروردین,CANNNNNNOT,f a r v a r d̪ i n
2053,فروش,f o ɾ uː ʃ,فروش,CANNNNNNOT,f o r A S
2054,فروش,f u ɾ oː ʃ,فروش,CANNNNNNOT,f u r oː S
2055,فروش,f u ɾ ɵː ʃ,فروش,CANNNNNNOT,f u r ɵː S
2056,فروش,f ʊ ɾ oː ʃ,فروش,CANNNNNNOT,f ʊ r oː S
2057,فروغ,f o ɾ uː ɣ,فروغ,CANNNNNNOT,f o r A q
2058,فروغ,f u ɾ oː ɣ,فروغ,CANNNNNNOT,f u r oː q
2059,فروغ,f u ɾ ɵː ɣ,فروغ,CANNNNNNOT,f u r ɵː q
2060,فروغ,f ʊ ɾ oː ɣ,فروغ,CANNNNNNOT,f ʊ r oː q
2061,فروهر,f o ɾ uː h æ ɾ,فروهر,CANNNNNNOT,f o r A h a r
2062,فروهر,f u ɾ oː h æ ɾ,فروهر,CANNNNNNOT,f u r oː h a r
2063,فریب,f a ɾ e b ~ f i ɾ e b,فریب,CANNNNNNOT,f a r e b ~ f i r e b
2064,فریب,f a ɾ eː b ~ f i ɾ eː b,فریب,CANNNNNNOT,f a r eː b ~ f i r eː b
2065,فریب,f a ɾ eː b ~ f ɪ ɾ eː b,فریب,CANNNNNNOT,f a r eː b ~ f i r eː b
2066,فریب,f æ ɾ iː b ~ f e ɾ iː b,فریب,CANNNNNNOT,f a r i b ~ f e r i b
2067,فریدون,f e ɾ e i̯ d uː n,فریدون,CANNNNNNOT,f e r e i̯ d A n
2068,فریدون,f ɪ ɾ eː d uː n,فریدون,CANNNNNNOT,f i r eː d A n
2069,فریفتن,f a ɾ e f t a n ~ f i ɾ e f t a n,فریفتن,CANNNNNNOT,f a r e f t a n ~ f i r e f t a n
2070,فریفتن,f a ɾ eː f t a n ~ f i ɾ eː f t a n,فریفتن,CANNNNNNOT,f a r eː f t a n ~ f i r eː f t a n
2071,فریفتن,f a ɾ eː f t a n ~ f ɪ ɾ eː f t a n,فریفتن,CANNNNNNOT,f a r eː f t a n ~ f i r eː f t a n
2072,فریفتن,f e ɾ iː f t æ n ~ f e ɾ iː f t æ n,فریفتن,CANNNNNNOT,f e r i f t a n ~ f e r i f t a n
2073,فریفتن,f æ ɾ iː f t æ n ~ f e ɾ iː f t æ n,فریفتن,CANNNNNNOT,f a r i f t a n ~ f e r i f t a n
2074,فشنگ,f e ʃ æ n ɡ,فشنگ,CANNNNNNOT,f e S a n ɡ
2075,فشنگ,f i ʃ a n ɡ,فشنگ,CANNNNNNOT,f i S a n ɡ
2076,فشنگ,f ɪ ʃ a n ɡ,فشنگ,CANNNNNNOT,f i S a n ɡ
2077,فصح,f e s h,فصح,CANNNNNNOT,f e s h
2078,فصح,f i s h,فصح,CANNNNNNOT,f i s h
2079,فصح,f ɪ s h,فصح,CANNNNNNOT,f i s h
2080,فضا,f a z ɑː ~ f i z ɑː,فضا,CANNNNNNOT,f a z A ~ f i z A
2081,فضا,f a z ɒː ~ f ɪ z ɒː,فضا,CANNNNNNOT,f a z A ~ f i z A
2082,فضا,f a z ɔː ~ f i z ɔː,فضا,CANNNNNNOT,f a z A ~ f i z A
2083,فضا,f æ z ɒː ~ f e z ɒː,فضا,CANNNNNNOT,f a z A ~ f e z A
2084,فضا,f ɒː z ɒː ~ f e z ɒː,فضا,CANNNNNNOT,f A z A ~ f e z A
2085,فضازمان,f a z ɑː z a m ɑː n,فضازمان,CANNNNNNOT,f a z A z a m A n
2086,فضازمان,f a z ɒː z a m ɒː n,فضازمان,CANNNNNNOT,f a z A z a m A n
2087,فضازمان,f a z ɔː z a m ɔː n,فضازمان,CANNNNNNOT,f a z A z a m A n
2088,فضازمان,f æ z ɒː z æ m ɒː n,فضازمان,CANNNNNNOT,f a z A z a m A n
2089,فضازمان,f ɒː z ɒː z ɒː m uː n,فضازمان,CANNNNNNOT,f A z A z A m A n
2090,فعل,f e ʔ l,فعل,CANNNNNNOT,f e l
2091,فعل,f eː l,فعل,CANNNNNNOT,f eː l
2092,فعل,f i ʔ l,فعل,CANNNNNNOT,f i l
2093,فعل,f ɪ ʔ l,فعل,CANNNNNNOT,f i l
2094,فغفور,f æ ɣ f uː ɾ,فغفور,CANNNNNNOT,f a q f A r
2095,فقط,f a q a t,فقط,CANNNNNNOT,f a q a t
2096,فقط,f æ ɣ æ t,فقط,CANNNNNNOT,f a q a t
2097,فلاخن,f æ l ɒː x æ n,فلاخن,CANNNNNNOT,f a l A x a n
2098,فهرست,f e h ɾ e s t,فهرست,CANNNNNNOT,f e h r e s t
2099,فهرست,f e h ɾ i s t,فهرست,CANNNNNNOT,f e h r i s t
2100,فهرست,f i h ɾ i s t,فهرست,CANNNNNNOT,f i h r i s t
2101,فهرست,f ɪ h ɾ ɪ s t,فهرست,CANNNNNNOT,f i h r i s t
2102,فهم,f æ h m,فهم,CANNNNNNOT,f a h m
2103,فهماندن,f a h m ɑː n d a n,فهماندن,CANNNNNNOT,f a h m A n d a n
2104,فهماندن,f a h m ɒː n d a n,فهماندن,CANNNNNNOT,f a h m A n d a n
